"month_day","rides","month","day","date"
"5/20","40785","5","20","2019/5/20"
"5/21","42874","5","21","2019/5/21"
"5/22","38624","5","22","2019/5/22"
"5/23","39853","5","23","2019/5/23"
"5/24","33868","5","24","2019/5/24"
"5/25","23428","5","25","2019/5/25"
"5/26","20068","5","26","2019/5/26"
"5/27","14775","5","27","2019/5/27"
"5/28","32666","5","28","2019/5/28"
"5/29","34328","5","29","2019/5/29"
"5/30","41831","5","30","2019/5/30"
"5/31","45415","5","31","2019/5/31"
"6/1","32262","6","1","2019/6/1"
"6/2","29724","6","2","2019/6/2"
"6/3","38549","6","3","2019/6/3"
"6/4","37393","6","4","2019/6/4"
"6/5","38291","6","5","2019/6/5"
"6/6","39683","6","6","2019/6/6"
"6/7","39069","6","7","2019/6/7"
"6/8","29669","6","8","2019/6/8"
"6/9","28192","6","9","2019/6/9"
"6/10","38480","6","10","2019/6/10"
"6/11","40769","6","11","2019/6/11"
"6/12","42056","6","12","2019/6/12"
"6/13","40963","6","13","2019/6/13"
"6/14","40281","6","14","2019/6/14"
"6/15","27062","6","15","2019/6/15"
"6/16","21965","6","16","2019/6/16"
"6/17","33721","6","17","2019/6/17"
"6/18","37018","6","18","2019/6/18"
"6/19","41273","6","19","2019/6/19"
"6/20","41772","6","20","2019/6/20"
"6/21","41475","6","21","2019/6/21"
"6/22","28282","6","22","2019/6/22"
"6/23","23250","6","23","2019/6/23"
"6/24","32990","6","24","2019/6/24"
"6/25","38068","6","25","2019/6/25"
"6/26","41122","6","26","2019/6/26"
"6/27","40362","6","27","2019/6/27"
"6/28","37320","6","28","2019/6/28"
"6/29","23542","6","29","2019/6/29"
"6/30","21220","6","30","2019/6/30"
"7/1","26353","7","1","2019/7/1"
"7/2","29961","7","2","2019/7/2"
"7/3","25705","7","3","2019/7/3"
"7/4","15294","7","4","2019/7/4"
"7/5","21133","7","5","2019/7/5"
"7/6","18617","7","6","2019/7/6"
"7/7","16950","7","7","2019/7/7"
"7/8","27071","7","8","2019/7/8"
"7/9","31397","7","9","2019/7/9"
"7/10","36413","7","10","2019/7/10"
"7/11","37863","7","11","2019/7/11"
