"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Lincoln Park","2019/11/20","176","33","209","18","6","PM","6 PM"
"Lincoln Park","2019/11/20","177","25","202","19","7","PM","7 PM"
"Lincoln Park","2019/11/20","161","19","180","20","8","PM","8 PM"
"Lincoln Park","2019/11/20","133","28","161","21","9","PM","9 PM"
"Lincoln Park","2019/11/20","99","20","119","22","10","PM","10 PM"
"Lincoln Park","2019/11/20","54","11","65","23","11","PM","11 PM"
"Lincoln Park","2019/11/21","24","11","35","0","12","AM","12 AM"
"Lincoln Park","2019/11/21","13","8","21","1","1","AM","1 AM"
"Lincoln Park","2019/11/21","4","6","10","2","2","AM","2 AM"
"Lincoln Park","2019/11/21","4","1","5","3","3","AM","3 AM"
"Lincoln Park","2019/11/21","2","3","5","4","4","AM","4 AM"
"Lincoln Park","2019/11/21","5","10","15","5","5","AM","5 AM"
"Lincoln Park","2019/11/21","4","18","22","6","6","AM","6 AM"
"Lincoln Park","2019/11/21","21","50","71","7","7","AM","7 AM"
"Lincoln Park","2019/11/21","22","59","81","8","8","AM","8 AM"
"Lincoln Park","2019/11/21","35","59","94","9","9","AM","9 AM"
"Lincoln Park","2019/11/21","27","41","68","10","10","AM","10 AM"
"Lincoln Park","2019/11/21","47","42","89","11","11","AM","11 AM"
"Lincoln Park","2019/11/21","55","38","93","12","12","PM","12 PM"
"Lincoln Park","2019/11/21","61","35","96","13","1","PM","1 PM"
"Lincoln Park","2019/11/21","84","27","111","14","2","PM","2 PM"
"Lincoln Park","2019/11/21","93","30","123","15","3","PM","3 PM"
"Lincoln Park","2019/11/21","97","27","124","16","4","PM","4 PM"
"Lincoln Park","2019/11/21","123","30","153","17","5","PM","5 PM"
"Lincoln Park","2019/11/21","177","33","210","18","6","PM","6 PM"
"Lincoln Park","2019/11/21","201","25","226","19","7","PM","7 PM"
"Lincoln Park","2019/11/21","182","29","211","20","8","PM","8 PM"
"Lincoln Park","2019/11/21","145","37","182","21","9","PM","9 PM"
"Lincoln Park","2019/11/21","123","47","170","22","10","PM","10 PM"
"Lincoln Park","2019/11/21","92","39","131","23","11","PM","11 PM"
"Lincoln Park","2019/11/22","60","17","77","0","12","AM","12 AM"
"Lincoln Park","2019/11/22","26","9","35","1","1","AM","1 AM"
"Lincoln Park","2019/11/22","21","5","26","2","2","AM","2 AM"
"Lincoln Park","2019/11/22","11","11","22","3","3","AM","3 AM"
"Lincoln Park","2019/11/22","7","7","14","4","4","AM","4 AM"
"Lincoln Park","2019/11/22","4","9","13","5","5","AM","5 AM"
"Lincoln Park","2019/11/22","6","10","16","6","6","AM","6 AM"
"Lincoln Park","2019/11/22","18","36","54","7","7","AM","7 AM"
"Lincoln Park","2019/11/22","23","60","83","8","8","AM","8 AM"
"Lincoln Park","2019/11/22","42","49","91","9","9","AM","9 AM"
"Lincoln Park","2019/11/22","43","40","83","10","10","AM","10 AM"
"Lincoln Park","2019/11/22","58","29","87","11","11","AM","11 AM"
"Lincoln Park","2019/11/22","65","46","111","12","12","PM","12 PM"
"Lincoln Park","2019/11/22","72","24","96","13","1","PM","1 PM"
"Lincoln Park","2019/11/22","102","28","130","14","2","PM","2 PM"
"Lincoln Park","2019/11/22","93","42","135","15","3","PM","3 PM"
"Lincoln Park","2019/11/22","149","35","184","16","4","PM","4 PM"
"Lincoln Park","2019/11/22","156","37","193","17","5","PM","5 PM"
"Lincoln Park","2019/11/22","164","39","203","18","6","PM","6 PM"
"Lincoln Park","2019/11/22","148","55","203","19","7","PM","7 PM"
"Lincoln Park","2019/11/22","138","36","174","20","8","PM","8 PM"
"Lincoln Park","2019/11/22","119","43","162","21","9","PM","9 PM"
"Lincoln Park","2019/11/22","109","48","157","22","10","PM","10 PM"
"Lincoln Park","2019/11/22","81","38","119","23","11","PM","11 PM"
"Lincoln Park","2019/11/23","92","40","132","0","12","AM","12 AM"
"Lincoln Park","2019/11/23","107","53","160","1","1","AM","1 AM"
"Lincoln Park","2019/11/23","96","50","146","2","2","AM","2 AM"
"Lincoln Park","2019/11/23","71","42","113","3","3","AM","3 AM"
"Lincoln Park","2019/11/23","27","16","43","4","4","AM","4 AM"
"Lincoln Park","2019/11/23","7","13","20","5","5","AM","5 AM"
"Lincoln Park","2019/11/23","1","9","10","6","6","AM","6 AM"
"Lincoln Park","2019/11/23","3","8","11","7","7","AM","7 AM"
"Lincoln Park","2019/11/23","12","8","20","8","8","AM","8 AM"
"Lincoln Park","2019/11/23","17","21","38","9","9","AM","9 AM"
"Lincoln Park","2019/11/23","29","18","47","10","10","AM","10 AM"
"Lincoln Park","2019/11/23","35","34","69","11","11","AM","11 AM"
"Lincoln Park","2019/11/23","38","20","58","12","12","PM","12 PM"
"Lincoln Park","2019/11/23","52","28","80","13","1","PM","1 PM"
"Lincoln Park","2019/11/23","68","23","91","14","2","PM","2 PM"
"Lincoln Park","2019/11/23","72","29","101","15","3","PM","3 PM"
"Lincoln Park","2019/11/23","58","27","85","16","4","PM","4 PM"
"Lincoln Park","2019/11/23","95","49","144","17","5","PM","5 PM"
"Lincoln Park","2019/11/23","92","65","157","18","6","PM","6 PM"
"Lincoln Park","2019/11/23","93","53","146","19","7","PM","7 PM"
"Lincoln Park","2019/11/23","80","39","119","20","8","PM","8 PM"
"Lincoln Park","2019/11/23","85","33","118","21","9","PM","9 PM"
"Lincoln Park","2019/11/23","77","46","123","22","10","PM","10 PM"
"Lincoln Park","2019/11/23","105","43","148","23","11","PM","11 PM"
"Lincoln Park","2019/11/24","96","50","146","0","12","AM","12 AM"
"Lincoln Park","2019/11/24","103","40","143","1","1","AM","1 AM"
"Lincoln Park","2019/11/24","121","49","170","2","2","AM","2 AM"
"Lincoln Park","2019/11/24","66","37","103","3","3","AM","3 AM"
"Lincoln Park","2019/11/24","24","20","44","4","4","AM","4 AM"
"Lincoln Park","2019/11/24","10","11","21","5","5","AM","5 AM"
"Lincoln Park","2019/11/24","4","7","11","6","6","AM","6 AM"
"Lincoln Park","2019/11/24","10","9","19","7","7","AM","7 AM"
"Lincoln Park","2019/11/24","13","7","20","8","8","AM","8 AM"
"Lincoln Park","2019/11/24","22","17","39","9","9","AM","9 AM"
"Lincoln Park","2019/11/24","26","33","59","10","10","AM","10 AM"
"Lincoln Park","2019/11/24","31","33","64","11","11","AM","11 AM"
"Lincoln Park","2019/11/24","34","13","47","12","12","PM","12 PM"
"Lincoln Park","2019/11/24","39","18","57","13","1","PM","1 PM"
"Lincoln Park","2019/11/24","56","19","75","14","2","PM","2 PM"
"Lincoln Park","2019/11/24","61","28","89","15","3","PM","3 PM"
"Lincoln Park","2019/11/24","63","21","84","16","4","PM","4 PM"
"Lincoln Park","2019/11/24","67","28","95","17","5","PM","5 PM"
"Lincoln Park","2019/11/24","39","20","59","18","6","PM","6 PM"
"Lincoln Park","2019/11/24","51","10","61","19","7","PM","7 PM"
"Lincoln Park","2019/11/24","32","15","47","20","8","PM","8 PM"
"Lincoln Park","2019/11/24","36","18","54","21","9","PM","9 PM"
"Lincoln Park","2019/11/24","27","17","44","22","10","PM","10 PM"
"Lincoln Park","2019/11/24","19","10","29","23","11","PM","11 PM"
"Lincoln Park","2019/11/25","9","4","13","0","12","AM","12 AM"
"Lincoln Park","2019/11/25","6","6","12","1","1","AM","1 AM"
"Lincoln Park","2019/11/25","3","4","7","2","2","AM","2 AM"
"Lincoln Park","2019/11/25","4","1","5","3","3","AM","3 AM"
"Lincoln Park","2019/11/25","2","5","7","4","4","AM","4 AM"
"Lincoln Park","2019/11/25","3","17","20","5","5","AM","5 AM"
"Lincoln Park","2019/11/25","1","10","11","6","6","AM","6 AM"
"Lincoln Park","2019/11/25","8","36","44","7","7","AM","7 AM"
"Lincoln Park","2019/11/25","23","38","61","8","8","AM","8 AM"
"Lincoln Park","2019/11/25","33","48","81","9","9","AM","9 AM"
"Lincoln Park","2019/11/25","29","25","54","10","10","AM","10 AM"
"Lincoln Park","2019/11/25","41","31","72","11","11","AM","11 AM"
"Lincoln Park","2019/11/25","42","26","68","12","12","PM","12 PM"
"Lincoln Park","2019/11/25","57","27","84","13","1","PM","1 PM"
"Lincoln Park","2019/11/25","64","24","88","14","2","PM","2 PM"
"Lincoln Park","2019/11/25","72","18","90","15","3","PM","3 PM"
"Lincoln Park","2019/11/25","100","22","122","16","4","PM","4 PM"
"Lincoln Park","2019/11/25","99","22","121","17","5","PM","5 PM"
"Lincoln Park","2019/11/25","136","24","160","18","6","PM","6 PM"
"Lincoln Park","2019/11/25","131","20","151","19","7","PM","7 PM"
"Lincoln Park","2019/11/25","94","18","112","20","8","PM","8 PM"
"Lincoln Park","2019/11/25","89","17","106","21","9","PM","9 PM"
"Lincoln Park","2019/11/25","44","16","60","22","10","PM","10 PM"
"Lincoln Park","2019/11/25","19","6","25","23","11","PM","11 PM"
"Lincoln Park","2019/11/26","13","4","17","0","12","AM","12 AM"
"Lincoln Park","2019/11/26","7","3","10","1","1","AM","1 AM"
"Lincoln Park","2019/11/26","4","5","9","2","2","AM","2 AM"
"Lincoln Park","2019/11/26","4","1","5","3","3","AM","3 AM"
"Lincoln Park","2019/11/26","1","2","3","4","4","AM","4 AM"
"Lincoln Park","2019/11/26","1","7","8","5","5","AM","5 AM"
"Lincoln Park","2019/11/26","5","13","18","6","6","AM","6 AM"
"Lincoln Park","2019/11/26","10","22","32","7","7","AM","7 AM"
"Lincoln Park","2019/11/26","15","42","57","8","8","AM","8 AM"
"Lincoln Park","2019/11/26","23","46","69","9","9","AM","9 AM"
"Lincoln Park","2019/11/26","33","43","76","10","10","AM","10 AM"
"Lincoln Park","2019/11/26","47","35","82","11","11","AM","11 AM"
"Lincoln Park","2019/11/26","52","29","81","12","12","PM","12 PM"
"Lincoln Park","2019/11/26","72","46","118","13","1","PM","1 PM"
"Lincoln Park","2019/11/26","76","34","110","14","2","PM","2 PM"
"Lincoln Park","2019/11/26","103","26","129","15","3","PM","3 PM"
"Lincoln Park","2019/11/26","123","20","143","16","4","PM","4 PM"
"Lincoln Park","2019/11/26","171","41","212","17","5","PM","5 PM"
"Lincoln Park","2019/11/26","189","46","235","18","6","PM","6 PM"
"Lincoln Park","2019/11/26","162","42","204","19","7","PM","7 PM"
"Lincoln Park","2019/11/26","129","20","149","20","8","PM","8 PM"
"Lincoln Park","2019/11/26","78","21","99","21","9","PM","9 PM"
"Lincoln Park","2019/11/26","62","17","79","22","10","PM","10 PM"
"Lincoln Park","2019/11/26","30","12","42","23","11","PM","11 PM"
"Lincoln Park","2019/11/27","29","9","38","0","12","AM","12 AM"
"Lincoln Park","2019/11/27","17","4","21","1","1","AM","1 AM"
"Lincoln Park","2019/11/27","5","3","8","2","2","AM","2 AM"
"Lincoln Park","2019/11/27","3","4","7","3","3","AM","3 AM"
"Lincoln Park","2019/11/27","1","5","6","4","4","AM","4 AM"
"Lincoln Park","2019/11/27","4","14","18","5","5","AM","5 AM"
"Lincoln Park","2019/11/27","4","8","12","6","6","AM","6 AM"
"Lincoln Park","2019/11/27","12","27","39","7","7","AM","7 AM"
"Lincoln Park","2019/11/27","25","37","62","8","8","AM","8 AM"
"Lincoln Park","2019/11/27","23","29","52","9","9","AM","9 AM"
"Lincoln Park","2019/11/27","35","40","75","10","10","AM","10 AM"
"Lincoln Park","2019/11/27","47","36","83","11","11","AM","11 AM"
"Lincoln Park","2019/11/27","50","24","74","12","12","PM","12 PM"
"Lincoln Park","2019/11/27","66","36","102","13","1","PM","1 PM"
"Lincoln Park","2019/11/27","59","25","84","14","2","PM","2 PM"
"Lincoln Park","2019/11/27","99","48","147","15","3","PM","3 PM"
"Lincoln Park","2019/11/27","92","27","119","16","4","PM","4 PM"
"Lincoln Park","2019/11/27","80","28","108","17","5","PM","5 PM"
"Lincoln Park","2019/11/27","80","21","101","18","6","PM","6 PM"
"Lincoln Park","2019/11/27","64","25","89","19","7","PM","7 PM"
"Lincoln Park","2019/11/27","43","12","55","20","8","PM","8 PM"
"Lincoln Park","2019/11/27","47","20","67","21","9","PM","9 PM"
"Lincoln Park","2019/11/27","40","22","62","22","10","PM","10 PM"
"Lincoln Park","2019/11/27","27","16","43","23","11","PM","11 PM"
"Lincoln Park","2019/11/28","32","20","52","0","12","AM","12 AM"
"Lincoln Park","2019/11/28","50","34","84","1","1","AM","1 AM"
"Lincoln Park","2019/11/28","44","28","72","2","2","AM","2 AM"
"Lincoln Park","2019/11/28","49","40","89","3","3","AM","3 AM"
"Lincoln Park","2019/11/28","17","15","32","4","4","AM","4 AM"
