"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Near South Side","2019/6/22","44","45","89","10","10","AM","10 AM"
"Near South Side","2019/6/22","58","56","114","11","11","AM","11 AM"
"Near South Side","2019/6/22","64","59","123","12","12","PM","12 PM"
"Near South Side","2019/6/22","75","62","137","13","1","PM","1 PM"
"Near South Side","2019/6/22","99","60","159","14","2","PM","2 PM"
"Near South Side","2019/6/22","115","73","188","15","3","PM","3 PM"
"Near South Side","2019/6/22","146","71","217","16","4","PM","4 PM"
"Near South Side","2019/6/22","100","71","171","17","5","PM","5 PM"
"Near South Side","2019/6/22","96","54","150","18","6","PM","6 PM"
"Near South Side","2019/6/22","109","69","178","19","7","PM","7 PM"
"Near South Side","2019/6/22","60","45","105","20","8","PM","8 PM"
"Near South Side","2019/6/22","45","32","77","21","9","PM","9 PM"
"Near South Side","2019/6/22","51","53","104","22","10","PM","10 PM"
"Near South Side","2019/6/22","60","53","113","23","11","PM","11 PM"
"Near South Side","2019/6/23","46","21","67","0","12","AM","12 AM"
"Near South Side","2019/6/23","33","11","44","1","1","AM","1 AM"
"Near South Side","2019/6/23","23","5","28","2","2","AM","2 AM"
"Near South Side","2019/6/23","10","6","16","3","3","AM","3 AM"
"Near South Side","2019/6/23","16","7","23","4","4","AM","4 AM"
"Near South Side","2019/6/23","9","6","15","5","5","AM","5 AM"
"Near South Side","2019/6/23","8","8","16","6","6","AM","6 AM"
"Near South Side","2019/6/23","7","10","17","7","7","AM","7 AM"
"Near South Side","2019/6/23","14","7","21","8","8","AM","8 AM"
"Near South Side","2019/6/23","32","20","52","9","9","AM","9 AM"
"Near South Side","2019/6/23","48","32","80","10","10","AM","10 AM"
"Near South Side","2019/6/23","43","37","80","11","11","AM","11 AM"
"Near South Side","2019/6/23","45","43","88","12","12","PM","12 PM"
"Near South Side","2019/6/23","61","45","106","13","1","PM","1 PM"
"Near South Side","2019/6/23","64","46","110","14","2","PM","2 PM"
"Near South Side","2019/6/23","57","53","110","15","3","PM","3 PM"
"Near South Side","2019/6/23","68","49","117","16","4","PM","4 PM"
"Near South Side","2019/6/23","58","56","114","17","5","PM","5 PM"
"Near South Side","2019/6/23","59","40","99","18","6","PM","6 PM"
"Near South Side","2019/6/23","33","28","61","19","7","PM","7 PM"
"Near South Side","2019/6/23","44","20","64","20","8","PM","8 PM"
"Near South Side","2019/6/23","30","29","59","21","9","PM","9 PM"
"Near South Side","2019/6/23","25","12","37","22","10","PM","10 PM"
"Near South Side","2019/6/23","22","12","34","23","11","PM","11 PM"
"Near South Side","2019/6/24","20","11","31","0","12","AM","12 AM"
"Near South Side","2019/6/24","9","5","14","1","1","AM","1 AM"
"Near South Side","2019/6/24","6","2","8","2","2","AM","2 AM"
"Near South Side","2019/6/24","6","3","9","3","3","AM","3 AM"
"Near South Side","2019/6/24","1","5","6","4","4","AM","4 AM"
"Near South Side","2019/6/24","5","11","16","5","5","AM","5 AM"
"Near South Side","2019/6/24","7","17","24","6","6","AM","6 AM"
"Near South Side","2019/6/24","21","30","51","7","7","AM","7 AM"
"Near South Side","2019/6/24","54","26","80","8","8","AM","8 AM"
"Near South Side","2019/6/24","75","26","101","9","9","AM","9 AM"
"Near South Side","2019/6/24","83","36","119","10","10","AM","10 AM"
"Near South Side","2019/6/24","84","40","124","11","11","AM","11 AM"
"Near South Side","2019/6/24","90","53","143","12","12","PM","12 PM"
"Near South Side","2019/6/24","82","50","132","13","1","PM","1 PM"
"Near South Side","2019/6/24","61","58","119","14","2","PM","2 PM"
"Near South Side","2019/6/24","62","64","126","15","3","PM","3 PM"
"Near South Side","2019/6/24","59","77","136","16","4","PM","4 PM"
"Near South Side","2019/6/24","86","65","151","17","5","PM","5 PM"
"Near South Side","2019/6/24","89","61","150","18","6","PM","6 PM"
"Near South Side","2019/6/24","73","35","108","19","7","PM","7 PM"
"Near South Side","2019/6/24","52","23","75","20","8","PM","8 PM"
"Near South Side","2019/6/24","38","13","51","21","9","PM","9 PM"
"Near South Side","2019/6/24","39","9","48","22","10","PM","10 PM"
"Near South Side","2019/6/24","26","3","29","23","11","PM","11 PM"
"Near South Side","2019/6/25","17","4","21","0","12","AM","12 AM"
"Near South Side","2019/6/25","6","2","8","1","1","AM","1 AM"
"Near South Side","2019/6/25","1","2","3","3","3","AM","3 AM"
"Near South Side","2019/6/25","3","2","5","4","4","AM","4 AM"
"Near South Side","2019/6/25","2","2","4","5","5","AM","5 AM"
"Near South Side","2019/6/25","7","8","15","6","6","AM","6 AM"
"Near South Side","2019/6/25","31","27","58","7","7","AM","7 AM"
"Near South Side","2019/6/25","84","36","120","8","8","AM","8 AM"
"Near South Side","2019/6/25","91","52","143","9","9","AM","9 AM"
"Near South Side","2019/6/25","85","41","126","10","10","AM","10 AM"
"Near South Side","2019/6/25","97","70","167","11","11","AM","11 AM"
"Near South Side","2019/6/25","118","76","194","12","12","PM","12 PM"
"Near South Side","2019/6/25","106","74","180","13","1","PM","1 PM"
"Near South Side","2019/6/25","131","79","210","14","2","PM","2 PM"
"Near South Side","2019/6/25","172","94","266","15","3","PM","3 PM"
"Near South Side","2019/6/25","217","121","338","16","4","PM","4 PM"
"Near South Side","2019/6/25","248","159","407","17","5","PM","5 PM"
"Near South Side","2019/6/25","322","176","498","18","6","PM","6 PM"
"Near South Side","2019/6/25","261","163","424","19","7","PM","7 PM"
"Near South Side","2019/6/25","193","87","280","20","8","PM","8 PM"
"Near South Side","2019/6/25","92","50","142","21","9","PM","9 PM"
"Near South Side","2019/6/25","65","41","106","22","10","PM","10 PM"
"Near South Side","2019/6/25","38","67","105","23","11","PM","11 PM"
"Near South Side","2019/6/26","22","58","80","0","12","AM","12 AM"
"Near South Side","2019/6/26","10","37","47","1","1","AM","1 AM"
"Near South Side","2019/6/26","13","7","20","2","2","AM","2 AM"
"Near South Side","2019/6/26","5","4","9","3","3","AM","3 AM"
"Near South Side","2019/6/26","1","3","4","4","4","AM","4 AM"
"Near South Side","2019/6/26","3","8","11","5","5","AM","5 AM"
"Near South Side","2019/6/26","10","13","23","6","6","AM","6 AM"
"Near South Side","2019/6/26","63","30","93","7","7","AM","7 AM"
"Near South Side","2019/6/26","195","59","254","8","8","AM","8 AM"
"Near South Side","2019/6/26","257","66","323","9","9","AM","9 AM"
"Near South Side","2019/6/26","179","63","242","10","10","AM","10 AM"
"Near South Side","2019/6/26","138","86","224","11","11","AM","11 AM"
"Near South Side","2019/6/26","111","113","224","12","12","PM","12 PM"
"Near South Side","2019/6/26","110","143","253","13","1","PM","1 PM"
"Near South Side","2019/6/26","86","168","254","14","2","PM","2 PM"
"Near South Side","2019/6/26","62","179","241","15","3","PM","3 PM"
"Near South Side","2019/6/26","62","194","256","16","4","PM","4 PM"
"Near South Side","2019/6/26","97","201","298","17","5","PM","5 PM"
"Near South Side","2019/6/26","99","179","278","18","6","PM","6 PM"
"Near South Side","2019/6/26","126","129","255","19","7","PM","7 PM"
"Near South Side","2019/6/26","88","86","174","20","8","PM","8 PM"
"Near South Side","2019/6/26","66","33","99","21","9","PM","9 PM"
"Near South Side","2019/6/26","70","22","92","22","10","PM","10 PM"
"Near South Side","2019/6/26","36","15","51","23","11","PM","11 PM"
"Near South Side","2019/6/27","33","5","38","0","12","AM","12 AM"
"Near South Side","2019/6/27","11","5","16","1","1","AM","1 AM"
"Near South Side","2019/6/27","6","2","8","2","2","AM","2 AM"
"Near South Side","2019/6/27","3","2","5","3","3","AM","3 AM"
"Near South Side","2019/6/27","3","5","8","4","4","AM","4 AM"
"Near South Side","2019/6/27","5","14","19","5","5","AM","5 AM"
"Near South Side","2019/6/27","6","15","21","6","6","AM","6 AM"
"Near South Side","2019/6/27","51","31","82","7","7","AM","7 AM"
"Near South Side","2019/6/27","143","45","188","8","8","AM","8 AM"
"Near South Side","2019/6/27","159","57","216","9","9","AM","9 AM"
"Near South Side","2019/6/27","128","66","194","10","10","AM","10 AM"
"Near South Side","2019/6/27","91","99","190","11","11","AM","11 AM"
"Near South Side","2019/6/27","88","127","215","12","12","PM","12 PM"
"Near South Side","2019/6/27","84","146","230","13","1","PM","1 PM"
"Near South Side","2019/6/27","68","139","207","14","2","PM","2 PM"
"Near South Side","2019/6/27","62","188","250","15","3","PM","3 PM"
"Near South Side","2019/6/27","79","208","287","16","4","PM","4 PM"
"Near South Side","2019/6/27","78","130","208","17","5","PM","5 PM"
"Near South Side","2019/6/27","109","79","188","18","6","PM","6 PM"
"Near South Side","2019/6/27","125","72","197","19","7","PM","7 PM"
"Near South Side","2019/6/27","110","54","164","20","8","PM","8 PM"
"Near South Side","2019/6/27","87","31","118","21","9","PM","9 PM"
"Near South Side","2019/6/27","47","29","76","22","10","PM","10 PM"
"Near South Side","2019/6/27","36","27","63","23","11","PM","11 PM"
"Near South Side","2019/6/28","29","18","47","0","12","AM","12 AM"
"Near South Side","2019/6/28","10","6","16","1","1","AM","1 AM"
"Near South Side","2019/6/28","7","3","10","2","2","AM","2 AM"
"Near South Side","2019/6/28","4","3","7","3","3","AM","3 AM"
"Near South Side","2019/6/28","2","6","8","4","4","AM","4 AM"
"Near South Side","2019/6/28","4","12","16","5","5","AM","5 AM"
"Near South Side","2019/6/28","11","19","30","6","6","AM","6 AM"
"Near South Side","2019/6/28","21","40","61","7","7","AM","7 AM"
"Near South Side","2019/6/28","23","49","72","8","8","AM","8 AM"
"Near South Side","2019/6/28","50","43","93","9","9","AM","9 AM"
"Near South Side","2019/6/28","54","43","97","10","10","AM","10 AM"
"Near South Side","2019/6/28","68","63","131","11","11","AM","11 AM"
"Near South Side","2019/6/28","62","52","114","12","12","PM","12 PM"
"Near South Side","2019/6/28","64","76","140","13","1","PM","1 PM"
"Near South Side","2019/6/28","80","70","150","14","2","PM","2 PM"
"Near South Side","2019/6/28","64","57","121","15","3","PM","3 PM"
"Near South Side","2019/6/28","63","62","125","16","4","PM","4 PM"
"Near South Side","2019/6/28","88","48","136","17","5","PM","5 PM"
"Near South Side","2019/6/28","105","53","158","18","6","PM","6 PM"
"Near South Side","2019/6/28","121","47","168","19","7","PM","7 PM"
"Near South Side","2019/6/28","97","35","132","20","8","PM","8 PM"
"Near South Side","2019/6/28","77","20","97","21","9","PM","9 PM"
"Near South Side","2019/6/28","53","38","91","22","10","PM","10 PM"
"Near South Side","2019/6/28","29","47","76","23","11","PM","11 PM"
"Near South Side","2019/6/29","38","33","71","0","12","AM","12 AM"
"Near South Side","2019/6/29","27","11","38","1","1","AM","1 AM"
"Near South Side","2019/6/29","15","1","16","2","2","AM","2 AM"
"Near South Side","2019/6/29","15","3","18","3","3","AM","3 AM"
"Near South Side","2019/6/29","8","4","12","4","4","AM","4 AM"
"Near South Side","2019/6/29","4","5","9","5","5","AM","5 AM"
"Near South Side","2019/6/29","4","4","8","6","6","AM","6 AM"
"Near South Side","2019/6/29","11","8","19","7","7","AM","7 AM"
"Near South Side","2019/6/29","21","12","33","8","8","AM","8 AM"
"Near South Side","2019/6/29","38","24","62","9","9","AM","9 AM"
"Near South Side","2019/6/29","56","21","77","10","10","AM","10 AM"
"Near South Side","2019/6/29","48","39","87","11","11","AM","11 AM"
"Near South Side","2019/6/29","42","49","91","12","12","PM","12 PM"
"Near South Side","2019/6/29","47","38","85","13","1","PM","1 PM"
"Near South Side","2019/6/29","57","44","101","14","2","PM","2 PM"
"Near South Side","2019/6/29","47","41","88","15","3","PM","3 PM"
"Near South Side","2019/6/29","63","62","125","16","4","PM","4 PM"
"Near South Side","2019/6/29","43","62","105","17","5","PM","5 PM"
"Near South Side","2019/6/29","71","52","123","18","6","PM","6 PM"
"Near South Side","2019/6/29","103","49","152","19","7","PM","7 PM"
"Near South Side","2019/6/29","65","19","84","20","8","PM","8 PM"
"Near South Side","2019/6/29","56","16","72","21","9","PM","9 PM"
"Near South Side","2019/6/29","40","22","62","22","10","PM","10 PM"
"Near South Side","2019/6/29","39","43","82","23","11","PM","11 PM"
"Near South Side","2019/6/30","34","12","46","0","12","AM","12 AM"
"Near South Side","2019/6/30","24","8","32","1","1","AM","1 AM"
"Near South Side","2019/6/30","19","4","23","2","2","AM","2 AM"
"Near South Side","2019/6/30","28","4","32","3","3","AM","3 AM"
"Near South Side","2019/6/30","9","1","10","4","4","AM","4 AM"
"Near South Side","2019/6/30","10","3","13","5","5","AM","5 AM"
"Near South Side","2019/6/30","6","4","10","6","6","AM","6 AM"
"Near South Side","2019/6/30","2","10","12","7","7","AM","7 AM"
"Near South Side","2019/6/30","10","11","21","8","8","AM","8 AM"
"Near South Side","2019/6/30","24","12","36","9","9","AM","9 AM"
"Near South Side","2019/6/30","40","19","59","10","10","AM","10 AM"
"Near South Side","2019/6/30","35","30","65","11","11","AM","11 AM"
