"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"West Town","2019/9/8","22","7","29","22","10","PM","10 PM"
"West Town","2019/9/8","20","5","25","23","11","PM","11 PM"
"West Town","2019/9/9","18","0","18","0","12","AM","12 AM"
"West Town","2019/9/9","18","4","22","1","1","AM","1 AM"
"West Town","2019/9/9","8","2","10","2","2","AM","2 AM"
"West Town","2019/9/9","5","6","11","3","3","AM","3 AM"
"West Town","2019/9/9","4","2","6","4","4","AM","4 AM"
"West Town","2019/9/9","4","5","9","5","5","AM","5 AM"
"West Town","2019/9/9","9","7","16","6","6","AM","6 AM"
"West Town","2019/9/9","8","11","19","7","7","AM","7 AM"
"West Town","2019/9/9","15","6","21","8","8","AM","8 AM"
"West Town","2019/9/9","25","13","38","9","9","AM","9 AM"
"West Town","2019/9/9","15","8","23","10","10","AM","10 AM"
"West Town","2019/9/9","20","10","30","11","11","AM","11 AM"
"West Town","2019/9/9","26","10","36","12","12","PM","12 PM"
"West Town","2019/9/9","32","7","39","13","1","PM","1 PM"
"West Town","2019/9/9","37","9","46","14","2","PM","2 PM"
"West Town","2019/9/9","48","10","58","15","3","PM","3 PM"
"West Town","2019/9/9","51","10","61","16","4","PM","4 PM"
"West Town","2019/9/9","55","10","65","17","5","PM","5 PM"
"West Town","2019/9/9","87","12","99","18","6","PM","6 PM"
"West Town","2019/9/9","62","13","75","19","7","PM","7 PM"
"West Town","2019/9/9","78","11","89","20","8","PM","8 PM"
"West Town","2019/9/9","62","8","70","21","9","PM","9 PM"
"West Town","2019/9/9","39","8","47","22","10","PM","10 PM"
"West Town","2019/9/9","32","5","37","23","11","PM","11 PM"
"West Town","2019/9/10","23","4","27","0","12","AM","12 AM"
"West Town","2019/9/10","7","4","11","1","1","AM","1 AM"
"West Town","2019/9/10","6","2","8","2","2","AM","2 AM"
"West Town","2019/9/10","4","1","5","3","3","AM","3 AM"
"West Town","2019/9/10","4","0","4","4","4","AM","4 AM"
"West Town","2019/9/10","4","3","7","5","5","AM","5 AM"
"West Town","2019/9/10","6","4","10","6","6","AM","6 AM"
"West Town","2019/9/10","11","6","17","7","7","AM","7 AM"
"West Town","2019/9/10","15","12","27","8","8","AM","8 AM"
"West Town","2019/9/10","26","10","36","9","9","AM","9 AM"
"West Town","2019/9/10","18","9","27","10","10","AM","10 AM"
"West Town","2019/9/10","29","9","38","11","11","AM","11 AM"
"West Town","2019/9/10","41","10","51","12","12","PM","12 PM"
"West Town","2019/9/10","46","17","63","13","1","PM","1 PM"
"West Town","2019/9/10","42","5","47","14","2","PM","2 PM"
"West Town","2019/9/10","36","15","51","15","3","PM","3 PM"
"West Town","2019/9/10","59","6","65","16","4","PM","4 PM"
