"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Portage Park","2019/12/28","3","1","4","0","12","AM","12 AM"
"Portage Park","2019/12/28","5","1","6","1","1","AM","1 AM"
"Portage Park","2019/12/28","4","1","5","2","2","AM","2 AM"
"Portage Park","2019/12/28","1","2","3","3","3","AM","3 AM"
"Portage Park","2019/12/28","3","1","4","4","4","AM","4 AM"
"Portage Park","2019/12/28","1","2","3","5","5","AM","5 AM"
"Portage Park","2019/12/28","2","1","3","7","7","AM","7 AM"
"Portage Park","2019/12/28","3","2","5","8","8","AM","8 AM"
"Portage Park","2019/12/28","3","2","5","9","9","AM","9 AM"
"Portage Park","2019/12/28","3","1","4","10","10","AM","10 AM"
"Portage Park","2019/12/28","2","3","5","11","11","AM","11 AM"
"Portage Park","2019/12/28","1","0","1","12","12","PM","12 PM"
"Portage Park","2019/12/28","2","0","2","13","1","PM","1 PM"
"Portage Park","2019/12/28","2","3","5","14","2","PM","2 PM"
"Portage Park","2019/12/28","4","3","7","15","3","PM","3 PM"
"Portage Park","2019/12/28","3","0","3","16","4","PM","4 PM"
"Portage Park","2019/12/28","2","0","2","17","5","PM","5 PM"
"Portage Park","2019/12/28","4","4","8","18","6","PM","6 PM"
"Portage Park","2019/12/28","1","3","4","19","7","PM","7 PM"
"Portage Park","2019/12/28","4","1","5","20","8","PM","8 PM"
"Portage Park","2019/12/28","1","0","1","21","9","PM","9 PM"
"Portage Park","2019/12/28","2","1","3","22","10","PM","10 PM"
"Portage Park","2019/12/28","6","1","7","23","11","PM","11 PM"
"Portage Park","2019/12/29","1","1","2","0","12","AM","12 AM"
"Portage Park","2019/12/29","4","1","5","1","1","AM","1 AM"
"Portage Park","2019/12/29","2","1","3","2","2","AM","2 AM"
"Portage Park","2019/12/29","2","0","2","3","3","AM","3 AM"
"Portage Park","2019/12/29","7","1","8","4","4","AM","4 AM"
"Portage Park","2019/12/29","3","3","6","5","5","AM","5 AM"
"Portage Park","2019/12/29","1","0","1","6","6","AM","6 AM"
"Portage Park","2019/12/29","1","0","1","7","7","AM","7 AM"
"Portage Park","2019/12/29","2","1","3","8","8","AM","8 AM"
"Portage Park","2019/12/29","1","0","1","9","9","AM","9 AM"
"Portage Park","2019/12/29","2","2","4","10","10","AM","10 AM"
"Portage Park","2019/12/29","2","1","3","11","11","AM","11 AM"
"Portage Park","2019/12/29","0","1","1","12","12","PM","12 PM"
"Portage Park","2019/12/29","1","2","3","13","1","PM","1 PM"
"Portage Park","2019/12/29","1","0","1","14","2","PM","2 PM"
"Portage Park","2019/12/29","2","0","2","15","3","PM","3 PM"
"Portage Park","2019/12/29","7","3","10","16","4","PM","4 PM"
"Portage Park","2019/12/29","3","1","4","17","5","PM","5 PM"
"Portage Park","2019/12/29","3","1","4","18","6","PM","6 PM"
"Portage Park","2019/12/29","5","2","7","19","7","PM","7 PM"
"Portage Park","2019/12/29","2","1","3","20","8","PM","8 PM"
"Portage Park","2019/12/29","3","1","4","21","9","PM","9 PM"
"Portage Park","2019/12/29","1","2","3","22","10","PM","10 PM"
"Portage Park","2019/12/29","3","2","5","23","11","PM","11 PM"
"Portage Park","2019/12/30","1","0","1","0","12","AM","12 AM"
"Portage Park","2019/12/30","3","0","3","2","2","AM","2 AM"
"Portage Park","2019/12/30","2","0","2","4","4","AM","4 AM"
"Portage Park","2019/12/30","0","2","2","6","6","AM","6 AM"
"Portage Park","2019/12/30","2","1","3","8","8","AM","8 AM"
"Portage Park","2019/12/30","3","1","4","9","9","AM","9 AM"
"Portage Park","2019/12/30","2","3","5","11","11","AM","11 AM"
"Portage Park","2019/12/30","4","2","6","12","12","PM","12 PM"
"Portage Park","2019/12/30","2","1","3","13","1","PM","1 PM"
"Portage Park","2019/12/30","2","0","2","14","2","PM","2 PM"
"Portage Park","2019/12/30","7","2","9","15","3","PM","3 PM"
"Portage Park","2019/12/30","3","2","5","16","4","PM","4 PM"
"Portage Park","2019/12/30","4","0","4","17","5","PM","5 PM"
"Portage Park","2019/12/30","4","3","7","18","6","PM","6 PM"
"Portage Park","2019/12/30","3","1","4","19","7","PM","7 PM"
"Portage Park","2019/12/30","4","1","5","20","8","PM","8 PM"
"Portage Park","2019/12/30","2","1","3","21","9","PM","9 PM"
"Portage Park","2019/12/30","4","2","6","22","10","PM","10 PM"
"Portage Park","2019/12/30","2","0","2","23","11","PM","11 PM"
"Portage Park","2019/12/31","9","0","9","0","12","AM","12 AM"
"Portage Park","2019/12/31","0","2","2","1","1","AM","1 AM"
"Portage Park","2019/12/31","4","0","4","2","2","AM","2 AM"
"Portage Park","2019/12/31","2","0","2","3","3","AM","3 AM"
"Portage Park","2019/12/31","0","1","1","4","4","AM","4 AM"
"Portage Park","2019/12/31","0","2","2","5","5","AM","5 AM"
"Portage Park","2019/12/31","3","4","7","6","6","AM","6 AM"
"Portage Park","2019/12/31","2","1","3","7","7","AM","7 AM"
"Portage Park","2019/12/31","0","1","1","8","8","AM","8 AM"
"Portage Park","2019/12/31","3","0","3","9","9","AM","9 AM"
"Portage Park","2019/12/31","1","0","1","10","10","AM","10 AM"
"Portage Park","2019/12/31","4","2","6","11","11","AM","11 AM"
"Portage Park","2019/12/31","2","5","7","12","12","PM","12 PM"
"Portage Park","2019/12/31","5","1","6","13","1","PM","1 PM"
"Portage Park","2019/12/31","4","0","4","14","2","PM","2 PM"
"Portage Park","2019/12/31","2","4","6","15","3","PM","3 PM"
"Portage Park","2019/12/31","7","3","10","16","4","PM","4 PM"
"Portage Park","2019/12/31","5","1","6","17","5","PM","5 PM"
"Portage Park","2019/12/31","7","1","8","18","6","PM","6 PM"
"Portage Park","2019/12/31","5","3","8","19","7","PM","7 PM"
"Portage Park","2019/12/31","4","2","6","20","8","PM","8 PM"
"Portage Park","2019/12/31","2","2","4","21","9","PM","9 PM"
"Portage Park","2019/12/31","2","2","4","22","10","PM","10 PM"
"Portage Park","2019/12/31","9","4","13","23","11","PM","11 PM"
"Irving Park","2019/1/1","7","3","10","0","12","AM","12 AM"
"Irving Park","2019/1/1","29","7","36","1","1","AM","1 AM"
"Irving Park","2019/1/1","30","9","39","2","2","AM","2 AM"
"Irving Park","2019/1/1","18","6","24","3","3","AM","3 AM"
"Irving Park","2019/1/1","14","11","25","4","4","AM","4 AM"
"Irving Park","2019/1/1","4","6","10","5","5","AM","5 AM"
"Irving Park","2019/1/1","4","4","8","6","6","AM","6 AM"
"Irving Park","2019/1/1","4","0","4","7","7","AM","7 AM"
"Irving Park","2019/1/1","6","2","8","8","8","AM","8 AM"
"Irving Park","2019/1/1","2","4","6","9","9","AM","9 AM"
"Irving Park","2019/1/1","2","5","7","10","10","AM","10 AM"
"Irving Park","2019/1/1","3","4","7","11","11","AM","11 AM"
"Irving Park","2019/1/1","3","1","4","12","12","PM","12 PM"
"Irving Park","2019/1/1","3","2","5","13","1","PM","1 PM"
"Irving Park","2019/1/1","7","4","11","14","2","PM","2 PM"
"Irving Park","2019/1/1","0","1","1","15","3","PM","3 PM"
"Irving Park","2019/1/1","7","2","9","16","4","PM","4 PM"
"Irving Park","2019/1/1","1","2","3","17","5","PM","5 PM"
"Irving Park","2019/1/1","9","2","11","18","6","PM","6 PM"
"Irving Park","2019/1/1","7","3","10","19","7","PM","7 PM"
"Irving Park","2019/1/1","2","3","5","20","8","PM","8 PM"
